M_t,t,Initial_percent_sugars,Initial_percent_cellulose,Initial_percent_lignin,CDI
31.06,1.99,22.40,67.06,10.54,0.4197
25.83,2.97,22.40,67.06,10.54,0.4197
30.78,3.98,22.40,67.06,10.54,0.4197
28.34,4.97,22.40,67.06,10.54,0.4197
21.01,6.02,22.40,67.06,10.54,0.4197
30.96,7.00,22.40,67.06,10.54,0.4197
29.03,8.98,22.40,67.06,10.54,0.4197
22.03,10.03,22.40,67.06,10.54,0.4197
66.46,1.01,31.72,52.15,16.13,0.4197
56.43,1.98,31.72,52.15,16.13,0.4197
38.46,2.97,31.72,52.15,16.13,0.4197
37.85,3.98,31.72,52.15,16.13,0.4197
36.93,4.97,31.72,52.15,16.13,0.4197
29.58,6.02,31.72,52.15,16.13,0.4197
27.16,7.01,31.72,52.15,16.13,0.4197
22.80,8.98,31.72,52.15,16.13,0.4197
19.83,10.03,31.72,52.15,16.13,0.4197
76.82,1.01,29.15,35.94,34.90,0.4197
69.03,1.98,29.15,35.94,34.90,0.4197
66.24,2.97,29.15,35.94,34.90,0.4197
58.91,3.98,29.15,35.94,34.90,0.4197
61.42,4.97,29.15,35.94,34.90,0.4197
58.89,6.02,29.15,35.94,34.90,0.4197
63.58,7.00,29.15,35.94,34.90,0.4197
54.67,8.98,29.15,35.94,34.90,0.4197
47.59,10.03,29.15,35.94,34.90,0.4197
32.74,1.04,22.40,67.06,10.54,0.5497
27.67,2.04,22.40,67.06,10.54,0.5497
23.55,3.06,22.40,67.06,10.54,0.5497
28.14,4.06,22.40,67.06,10.54,0.5497
26.02,5.09,22.40,67.06,10.54,0.5497
18.56,6.14,22.40,67.06,10.54,0.5497
29.53,7.11,22.40,67.06,10.54,0.5497
7.59,8.11,22.40,67.06,10.54,0.5497
10.13,9.13,22.40,67.06,10.54,0.5497
52.41,1.02,31.72,52.15,16.13,0.5497
56.93,2.04,31.72,52.15,16.13,0.5497
20.22,3.06,31.72,52.15,16.13,0.5497
31.14,5.08,31.72,52.15,16.13,0.5497
22.10,6.14,31.72,52.15,16.13,0.5497
18.49,7.10,31.72,52.15,16.13,0.5497
24.29,8.11,31.72,52.15,16.13,0.5497
15.89,9.14,31.72,52.15,16.13,0.5497
78.30,1.04,29.15,35.94,34.90,0.5497
72.74,2.04,29.15,35.94,34.90,0.5497
72.33,3.07,29.15,35.94,34.90,0.5497
63.73,4.06,29.15,35.94,34.90,0.5497
60.18,5.08,29.15,35.94,34.90,0.5497
49.85,6.16,29.15,35.94,34.90,0.5497
50.83,7.11,29.15,35.94,34.90,0.5497
50.45,8.12,29.15,35.94,34.90,0.5497
35.64,9.14,29.15,35.94,34.90,0.5497
46.28,1.01,22.40,67.06,10.54,0.3704
25.06,2.00,22.40,67.06,10.54,0.3704
22.48,3.01,22.40,67.06,10.54,0.3704
29.99,4.00,22.40,67.06,10.54,0.3704
24.71,5.00,22.40,67.06,10.54,0.3704
19.84,6.02,22.40,67.06,10.54,0.3704
14.30,6.99,22.40,67.06,10.54,0.3704
15.55,7.99,22.40,67.06,10.54,0.3704
6.79,8.99,22.40,67.06,10.54,0.3704
16.68,10.02,22.40,67.06,10.54,0.3704
60.63,1.01,31.72,52.15,16.13,0.3704
56.23,2.00,31.72,52.15,16.13,0.3704
44.30,3.01,31.72,52.15,16.13,0.3704
42.13,4.00,31.72,52.15,16.13,0.3704
30.89,5.00,31.72,52.15,16.13,0.3704
29.38,6.02,31.72,52.15,16.13,0.3704
18.96,6.99,31.72,52.15,16.13,0.3704
35.74,7.99,31.72,52.15,16.13,0.3704
25.38,8.99,31.72,52.15,16.13,0.3704
22.02,10.02,31.72,52.15,16.13,0.3704
76.05,1.01,29.15,35.94,34.90,0.3704
69.66,2.00,29.15,35.94,34.90,0.3704
60.94,3.01,29.15,35.94,34.90,0.3704
60.94,4.00,29.15,35.94,34.90,0.3704
51.60,5.00,29.15,35.94,34.90,0.3704
49.19,6.02,29.15,35.94,34.90,0.3704
37.12,6.99,29.15,35.94,34.90,0.3704
41.81,7.99,29.15,35.94,34.90,0.3704
32.15,8.99,29.15,35.94,34.90,0.3704
37.57,10.02,29.15,35.94,34.90,0.3704
